tree c50,,,,
,?,3,0,
,,predicted,,
,,democrat,republican,
,n,TP = 70,FP = 1,77
,y,FN = 7,TP = 54,61
,,77,55,
,,,,
,Accuracy rate,(TP+TN) / total,0.939393939,
,Error rate,(FN+FP) /total,0.097560976,
,,,,
,,,,
tree cart,,,,
,,,,
,?,3,0,
,,democrat,republican,
,n,TN = 71,FP = 0,
,y,FN = 0,TF =61,
,,,,
,Accuracy rate,(TP+TN) / total,1,
,Error rate,(FN+FP) /total,0,
,,,,
,,,,
tree forest,,,,
,,,,
,?,9,0,
,,democrat,republican,
,n,TN = 184,FP = 0,184
,y,FN = 2,TP = 140,142
,,186,140,
,,,,
,Accuracy rate,(TP+TN) / total,0.993865031,
,Error rate,(FN+FP) /total,0.006134969,
